Name,Designation,Company,LinkedIn,Tags,Logo
⭐ Sudalai Rajkumar - SRK," Head of AI/ML"," Growfin.ai",https://www.linkedin.com/in/sudalairajkumar/,,
⭐ Nils Reimers," Director of Machine Learning"," Cohere",https://www.linkedin.com/in/reimersnils/,,
⭐ Ashray Malhotra," CEO & Co-founder"," Rephrase.ai",https://www.linkedin.com/in/ashraymalhotra/,,
⭐ Surbhi Rathore," CEO & Co-founder"," Symbl.ai",https://www.linkedin.com/in/surbhi-rathore/,,
⭐ Paul Finney," Founder"," SpaceKayak",https://www.linkedin.com/in/paulfinneyx/,,
⭐ Akshat Tyagi," Founder"," WorkHack",https://www.linkedin.com/in/ofcakshat/,,
